Competencia;Data;nome;descricao;Responsavel;Valor
01/05/2023;04/05/2023;AmazonPrime;;Rafa;14,9
01/05/2023;05/05/2023;Conectcat;;Rafa;50
01/05/2023;06/05/2023;Aluguel;;Rafa;764,13
01/05/2023;07/05/2023;Internet;;Rafa;125
01/05/2023;08/05/2023;Vet Gordo;;Rafa;130
01/05/2023;09/05/2023;Amazon Music;;Thais;16,9
01/05/2023;03/05/2023;Colchão 9/12;;Thais;299,9
01/05/2023;04/05/2023;Estacionamento;;Thais;10
01/05/2023;05/05/2023;Juros obra 4/36;;Thais;467,29
01/05/2023;06/05/2023;Luz;;Thais;125,93
01/05/2023;07/05/2023;Sofá 6/10;;Thais;204,88
01/05/2023;08/05/2023;Carro 3/3;;Thais;719
01/05/2023;09/05/2023;Comer fora;;Thais;781,56
01/05/2023;10/05/2023;Casa;;Thais;141,46
01/05/2023;11/05/2023;Farmacia;;Thais;165,86
01/05/2023;12/05/2023;Mercado;;Thais;124,39
01/05/2023;13/05/2023;Gasolina;;Thais;400,62
01/05/2023;14/05/2023;Fruteira;;Thais;83,77
01/06/2023;02/06/2023;boleto AP1;mai/36;Rafa;412,72
01/06/2023;03/06/2023;boleto AP2;mai/36;Rafa;584,51
01/06/2023;04/06/2023;boleto AP3;mai/36;Rafa;263,19
01/06/2023;05/06/2023;AmazonPrime;;Rafa;14,9
01/06/2023;06/06/2023;Cirurgia Gordo;;Rafa;1.767,50
01/06/2023;07/06/2023;Pizzaria Tartalia;;Rafa;50
01/06/2023;08/06/2023;Pizzaria Tartalia;;Rafa;50
01/06/2023;09/06/2023;Pomada Gordo;;Rafa;69
01/06/2023;10/06/2023;Conectcat;;Rafa;50
01/06/2023;11/06/2023;Aluguel;;Rafa;761,24
01/06/2023;12/06/2023;Internet;;Rafa;125
01/06/2023;13/06/2023;Unisuper;;Rafa;47,96
01/06/2023;14/06/2023;Unisuper;;Rafa;121,13
01/06/2023;15/06/2023;Unisuper;;Rafa;34,39
01/06/2023;16/06/2023;Amazon Music;;Thais;16,9
01/06/2023;17/06/2023;casamento bebida;;Thais;231,99
01/06/2023;18/06/2023;Colchão 10/12;;Thais;299,9
01/06/2023;19/06/2023;Megacompra;;Thais;175,9
01/06/2023;20/06/2023;Presente casamento 1/3;;Thais;79,98
01/06/2023;03/06/2023;Luz;;Thais;126,51
01/06/2023;04/06/2023;Mercado;;Thais;165,91
01/06/2023;05/06/2023;Arikawa;;Thais;31
01/06/2023;06/06/2023;Farmácia;;Thais;83,36
01/06/2023;07/06/2023;Gasolina;;Thais;559,14
01/06/2023;08/06/2023;Bazar;;Thais;52,71
01/06/2023;09/06/2023;Sofá 7/10;;Thais;204,88
01/06/2023;10/06/2023;Plantas;;Thais;70
01/06/2023;11/06/2023;Café Lila;;Thais;65
01/06/2023;12/06/2023;Aplause;;Thais;11,7
01/06/2023;13/06/2023;Ferragem;;Thais;2
01/06/2023;14/06/2023;Bazar;;Thais;120
01/06/2023;15/06/2023;Vassourinha 1/2;;Thais;99,5
01/06/2023;16/06/2023;Banca 12;;Thais;39,81
01/06/2023;17/06/2023;Fruteira;;Thais;109,54
01/06/2023;18/06/2023;Juros obra 5/36;;Thais;409,96
01/07/2023;06/07/2023;boleto AP1;jun/36;Rafa;416,21
01/07/2023;07/07/2023;boleto AP2;jun/36;Rafa;589,45
01/07/2023;08/07/2023;boleto AP3;jun/36;Rafa;265,42
01/07/2023;09/07/2023;AmazonPrime;;Rafa;14,9
01/07/2023;10/07/2023;Carnes Kalunga;;Rafa;99,98
01/07/2023;11/07/2023;Comida Gordo;;Rafa;177
01/07/2023;12/07/2023;Lavagem Carro;;Rafa;20
01/07/2023;13/07/2023;Moveis Cleber;;Rafa;120
01/07/2023;14/07/2023;Aluguel;;Rafa;746,98
01/07/2023;15/07/2023;Internet;;Rafa;125
01/07/2023;16/07/2023;Amazon Music;;Thais;14,9
01/07/2023;17/07/2023;Colchão 11/12;;Thais;299,9
01/07/2023;18/07/2023;Presente casamento 2/3;;Thais;79,98
01/07/2023;19/07/2023;Luz;;Thais;135,25
01/07/2023;20/07/2023;Mercado;;Thais;125,28
01/07/2023;04/07/2023;Farmácia;;Thais;172,31
01/07/2023;05/07/2023;Bazar;;Thais;16,98
01/07/2023;06/07/2023;Sofá 8/10;;Thais;204,88
01/07/2023;07/07/2023;Comer fora;;Thais;281,05
01/07/2023;08/07/2023;Vassourinha 2/2;;Thais;99,5
01/07/2023;09/07/2023;Juros obra 6/36;;Thais;512,07
01/07/2023;10/07/2023;Fruteira;;Thais;51,48
01/07/2023;11/07/2023;Presente Tamara;;Thais;89,99
01/08/2023;02/08/2023;boleto AP1;jul/36;Rafa;265,56
01/08/2023;03/08/2023;boleto AP2;jul/36;Rafa;416,44
01/08/2023;04/08/2023;boleto AP3;jul/36;Rafa;589,78
01/08/2023;05/08/2023;Aluguel;;Rafa;591,16
01/08/2023;06/08/2023;Internet;;Rafa;125
01/08/2023;07/08/2023;Unisuper;;Rafa;21,27
01/08/2023;08/08/2023;Unisuper;;Rafa;51,65
01/08/2023;09/08/2023;Hiperbem;;Rafa;27,32
01/08/2023;10/08/2023;Fruteira;;Rafa;32,12
01/08/2023;11/08/2023;Amazon Music;;Thais;31,8
01/08/2023;12/08/2023;Cambota show;;Thais;103,5
01/08/2023;13/08/2023;Colchão 12/12;;Thais;299,9
01/08/2023;14/08/2023;Presente casamento 3/3;;Thais;79,98
01/08/2023;15/08/2023;produto de limpeza;;Thais;82,76
01/08/2023;16/08/2023;Luz;;Thais;162,31
01/08/2023;17/08/2023;Mercado;;Thais;134,58
01/08/2023;18/08/2023;Farmácia;;Thais;140,51
01/08/2023;19/08/2023;Ferragem;;Thais;13,9
01/08/2023;20/08/2023;Sofá 9/10;;Thais;204,88
01/08/2023;21/08/2023;Comer fora;;Thais;446,78
01/08/2023;22/08/2023;Mega Compra;;Thais;164,4
01/08/2023;02/08/2023;Juros obra 6/36;;Thais;553
01/08/2023;03/08/2023;Creatina;;Thais;62
01/08/2023;04/08/2023;Chico Felliti;;Thais;9,9
01/08/2023;05/08/2023;Gasosa;;Thais;100
01/08/2023;06/08/2023;Banca 12;;Thais;52,09
01/08/2023;07/08/2023;kit chima;;Thais;149,7
01/09/2023;03/09/2023;boleto AP1;ago/36;Rafa;591,2
01/09/2023;04/09/2023;boleto AP2;ago/36;Rafa;266,2
01/09/2023;05/09/2023;boleto AP3;ago/36;Rafa;417,45
01/09/2023;06/09/2023;Carne Vinicius;;Rafa;35
01/09/2023;07/09/2023;Chips expointer;;Rafa;10
01/09/2023;08/09/2023;Dsw Bichomimado;;Rafa;55
01/09/2023;09/09/2023;Estacionamento;;Rafa;12
01/09/2023;10/09/2023;Mercado das frutas;;Rafa;11,17
01/09/2023;11/09/2023;Mercado Itapema;;Rafa;140
01/09/2023;12/09/2023;OCV Ferragem;;Rafa;42,69
01/09/2023;13/09/2023;Posto Sorocaba;;Rafa;128
01/09/2023;14/09/2023;Queijo Expointer;;Rafa;15,5
01/09/2023;15/09/2023;Sim Freeway;;Rafa;100
01/09/2023;16/09/2023;Suco expointer;;Rafa;5
01/09/2023;17/09/2023;Unisuper 26.08;;Rafa;11,59
01/09/2023;18/09/2023;Aluguel;;Rafa;744,3
01/09/2023;19/09/2023;Internet;;Rafa;125
01/09/2023;20/09/2023;Almoco itapema dos Pais;;Rafa;51
01/09/2023;21/09/2023;Pao Expointer;;Rafa;10
01/09/2023;22/09/2023;Forcafe;;Rafa;23,8
01/09/2023;23/09/2023;Amazon Music;;Thais;31,8
01/09/2023;24/09/2023;Juros obra 4/36;;Thais;584,49
01/09/2023;25/09/2023;Mercado;;Thais;199,15
01/09/2023;26/09/2023;Farmácia;;Thais;89,53
01/09/2023;27/09/2023;Farmacenter;;Thais;58,7
01/09/2023;28/09/2023;Ingressos;;Thais;27,5
01/09/2023;29/09/2023;Lencol;;Thais;71,54
01/09/2023;30/09/2023;Sta Catarina;;Thais;602
01/09/2023;05/09/2023;Sofá 10/10;;Thais;204,88
01/09/2023;06/09/2023;Comer fora;;Thais;248,95
01/09/2023;07/09/2023;Jarra eletrica 1/3;;Thais;66,64
01/09/2023;08/09/2023;Ferragem;;Thais;57,65
01/09/2023;09/09/2023;Chico Felliti;;Thais;9,9
01/09/2023;10/09/2023;Banca 12;;Thais;48,65
01/09/2023;11/09/2023;Luz;;Thais;141,27
01/09/2023;12/09/2023;Expointer;;Thais;45,48
01/10/2023;05/10/2023;boleto AP1;ago/36;Rafa;592,62
01/10/2023;06/10/2023;boleto AP2;ago/36;Rafa;418,45
01/10/2023;07/10/2023;boleto AP3;ago/36;Rafa;266,84
01/10/2023;08/10/2023;Carnes Kalunga;;Rafa;80,69
01/10/2023;09/10/2023;Carnes Vinicius;;Rafa;63
01/10/2023;10/10/2023;Posto Tadeu;;Rafa;100
01/10/2023;11/10/2023;Aluguel;;Rafa;710,34
01/10/2023;12/10/2023;Internet;;Rafa;125
01/10/2023;13/10/2023;OCV;;Rafa;11,5
01/10/2023;14/10/2023;Unisuper;;Rafa;3,99
01/10/2023;15/10/2023;Amazon Music;;Thais;31,8
01/10/2023;16/10/2023;Juros obra 5;;Thais;668,81
01/10/2023;17/10/2023;Mercado;;Thais;185,34
01/10/2023;18/10/2023;Frutaria;;Thais;143,11
01/10/2023;19/10/2023;Estacionamento;;Thais;31
01/10/2023;20/10/2023;casa;;Thais;256,35
01/10/2023;21/10/2023;Assistencia;;Thais;80
01/10/2023;22/10/2023;Gasolina;;Thais;250
01/10/2023;23/10/2023;Comer fora;;Thais;518,32
01/10/2023;24/10/2023;Jarra eletrica 2/3;;Thais;66,64
01/10/2023;25/10/2023;Esquimo;;Thais;39,5
01/10/2023;26/10/2023;Novarejosa;;Thais;263,4
01/10/2023;27/10/2023;kalunga;;Thais;140,89
01/10/2023;28/10/2023;Luz;;Thais;169,34
01/10/2023;29/10/2023;Produto de limpeza;;Thais;63,98
01/10/2023;30/10/2023;B12;;Thais;43,18
01/10/2023;09/10/2023;Troca oleo;;Thais;97,5
01/11/2023;03/11/2023;Luz;;Thais;135,32
01/11/2023;04/11/2023;Carne;;Thais;91,12
01/11/2023;05/11/2023;Fruteira;;Thais;125,57
01/11/2023;06/11/2023;whey;;Thais;85,5
01/11/2023;07/11/2023;Habbibs;;Thais;28
01/11/2023;08/11/2023;Mercado;;Thais;16,45
01/11/2023;09/11/2023;Panvel;;Thais;276,95
01/11/2023;10/11/2023;Comer fora;sushi;Thais;114,7
01/11/2023;11/11/2023;Café;;Thais;28,9
01/11/2023;12/11/2023;Aluguel;;Rafa;710,34
01/11/2023;13/11/2023;Internet;;Rafa;79,9
01/11/2023;14/11/2023;boleto AP1;ago/36;Rafa;593,81
01/11/2023;15/11/2023;boleto AP2;ago/36;Rafa;419,29
01/11/2023;16/11/2023;boleto AP3;ago/36;Rafa;267,38
01/11/2023;17/11/2023;Habbibs;;Rafa;22,9
01/11/2023;18/11/2023;OCV Ferragem;;Rafa;187
01/11/2023;19/11/2023;Faxina;;Rafa;200
01/12/2023;05/12/2023;boleto AP1;set/36;Rafa;419,71
01/12/2023;06/12/2023;boleto AP2;set/36;Rafa;267,65
01/12/2023;07/12/2023;boleto AP3;set/36;Rafa;594,41
01/12/2023;08/12/2023;Kabum Alexa Natal;;Rafa;320,64
01/12/2023;09/12/2023;Ração Gordo;;Rafa;180
01/12/2023;10/12/2023;Aluguel;;Rafa;635,73
01/12/2023;11/12/2023;Internet;;Rafa;
01/12/2023;12/12/2023;Faxina 2x;;Rafa;200
01/12/2023;13/12/2023;Amazon Prime;;Thais;14,9
01/12/2023;14/12/2023;Manutenção Etios 1/4;;Thais;423,5
01/12/2023;15/12/2023;Luz;;Thais;141,67
01/12/2023;16/12/2023;Juros Obra;;Thais;604,04
01/12/2023;17/12/2023;Juros Obra;;Thais;629,07
01/12/2023;18/12/2023;jarra 3/3;;Thais;66,64
01/12/2023;19/12/2023;Mercado;;Thais;326,78
01/12/2023;20/12/2023;Carne;;Thais;108,12
01/12/2023;21/12/2023;Gravatai;;Thais;15
01/12/2023;22/12/2023;Fruteira;;Thais;49,15
01/12/2023;23/12/2023;Gasolina;;Thais;402,22
01/12/2023;24/12/2023;OCV;;Thais;117,55
01/12/2023;25/12/2023;Frigideira;;Thais;55,78
01/12/2023;26/12/2023;Comer fora;;Thais;321,49
01/12/2023;27/12/2023;Riachuello;;Thais;98,5
01/12/2023;28/12/2023;Sabonete;;Thais;29,9
01/12/2023;29/12/2023;Casa Bahia (airfreyer);;Thais;275,95
01/12/2023;30/12/2023;Alipay (fone);;Thais;70,07
01/12/2023;31/12/2023;DSW AGROPECU-CT (BichoMimado);;Thais;45
01/01/2024;01/01/2024;Luz;;Thais;223,14
01/01/2024;02/01/2024;juros Obra;;Thais;637,59
01/01/2024;03/01/2024;Manutenção Etios 2/4;;Thais;423,5
01/01/2024;04/01/2024;Mercado ;;Thais;766,53
01/01/2024;05/01/2024;Mercado das frutas;;Thais;334,48
01/01/2024;06/01/2024;Casa maria;;Thais;85,5
01/01/2024;07/01/2024;Prime ;;Thais;14,9
01/01/2024;08/01/2024;Gasolina;;Thais;515,74
01/01/2024;09/01/2024;Boteko Navegantes ;;Thais;88,48
01/01/2024;10/01/2024;Havan 1/2 ;;Thais;77,47
01/01/2024;11/01/2024;Amazon?;;Thais;35,54
01/01/2024;12/01/2024;Fachi;;Thais;135,95
01/01/2024;13/01/2024;B12 ;;Thais;24,75
01/01/2024;14/01/2024;Copal;;Thais;33,66
01/01/2024;15/01/2024;Riachuelo 2/3;;Thais;98,5
01/01/2024;16/01/2024;Comer fora ;;Thais;26
01/01/2024;17/01/2024;Presentes;;Thais;169,97
01/01/2024;18/01/2024;Borrifador;;Thais;18,99
01/01/2024;19/01/2024;Aluguel;;Rafa;635,73
01/01/2024;20/01/2024;Internet;;Rafa;0
01/01/2024;21/01/2024;boleto AP1;dez/36;Rafa;595,97
01/01/2024;22/01/2024;boleto AP2;dez/36;Rafa;689,14
01/01/2024;23/01/2024;Pizzaria Canoense;;Rafa;34
01/01/2024;24/01/2024;Agromeyer;;Rafa;50
01/01/2024;25/01/2024;Whey;;Rafa;66,84
01/01/2024;26/01/2024;IPVA;;Rafa;908,32
01/01/2024;23/01/2024;Conectcar;;Rafa;50
01/01/2024;24/01/2024;Conectcar;;Rafa;50
01/01/2024;25/01/2024;Pizzaria Canoense;;Rafa;10,9
01/01/2024;26/01/2024;Faxina;;Rafa;0
01/02/2024;23/12/2023;boleto AP1;13/36;Rafa;597,33
01/02/2024;24/12/2023;boleto AP2;13/36;Rafa;421,78
01/02/2024;25/12/2023;boleto AP3;13/36;Rafa;268,96
01/02/2024;26/12/2023;Aluguel;;Rafa;754,45
01/02/2024;27/12/2023;Internet;;Rafa;0
01/02/2024;28/12/2023;Faxina;;Rafa;100
01/02/2024;29/12/2023;Mel;;Rafa;30
01/02/2024;30/12/2023;Mandolin;;Rafa;129
01/02/2024;31/12/2023;Luz;;Thais;227,2
01/02/2024;01/01/2024;juros Obra;;Thais;664,82
01/02/2024;02/01/2024;Manutenção Etios 3/4;;Thais;423,5
01/02/2024;03/01/2024;Mercado ;;Thais;430,22
01/02/2024;04/01/2024;Mercado das frutas;;Thais;250,02
01/02/2024;05/01/2024;Churras Mavi;;Thais;94
01/02/2024;06/01/2024;Prime ;;Thais;14,9
01/02/2024;07/01/2024;Gasolina;;Thais;160
01/02/2024;08/01/2024;Agromeyer;;Thais;93,8
01/02/2024;09/01/2024;Havan 2/2 ;;Thais;77,47
01/02/2024;10/01/2024;Pioca Cinema ;;Thais;32
01/02/2024;11/01/2024;Gordinho Mimado ;;Thais;45
01/02/2024;12/01/2024;Kalunga;;Thais;79,55
01/02/2024;13/01/2024;Estacionamento ;;Thais;20
01/02/2024;14/01/2024;Riachuelo 3/3;;Thais;98,5
01/02/2024;15/01/2024;Comer fora ;;Thais;190,9
01/02/2024;16/01/2024;Shoppe;;Thais;43,64
01/02/2024;17/01/2024;Bike 1/4;;Thais;212,25
01/03/2024;18/01/2024;boleto AP1;14/36;Rafa;598,54
01/03/2024;19/01/2024;boleto AP2;14/36;Rafa;422,63
01/03/2024;20/01/2024;boleto AP3;14/36;Rafa;269,63
01/03/2024;21/01/2024;Orla Bar ;Comer  fora;Rafa;117,7
01/03/2024;22/01/2024;Aluguel;;Rafa;814,72
01/03/2024;23/01/2024;Internet;;Rafa;79,71
01/03/2024;24/01/2024;Faxina;;Rafa;200
01/03/2024;25/01/2024;Pedagio;;Rafa;60
01/03/2024;26/01/2024;Gasolina;;Rafa;100
01/03/2024;27/01/2024;Mercado Koch;;Rafa;54,71
01/03/2024;28/01/2024;Luz;;Thais;179,56
01/03/2024;29/01/2024;juros Obra;;Thais;732,91
01/03/2024;30/01/2024;Manutenção Etios 4/4;;Thais;423,5
01/03/2024;31/01/2024;Mercado ;;Thais;531,09
01/03/2024;01/02/2024;Mercado das frutas;;Thais;214,82
01/03/2024;02/02/2024;Passagem 1/2 ;;Thais;63,51
01/03/2024;03/02/2024;Prime ;;Thais;14,9
01/03/2024;04/02/2024;Gasolina;;Thais;420,89
01/03/2024;05/02/2024;Troca Óleo 1/2;;Thais;112,5
01/03/2024;06/02/2024;Compras casa atacado 1/2;;Thais;84,09
01/03/2024;07/02/2024;Comer fora ;;Thais;272,84
01/03/2024;08/02/2024;Shoppe;;Thais;62,83
01/03/2024;09/02/2024;Trava Bike1/2;;Thais;59,63
01/03/2024;10/02/2024;Farmácia ;;Thais;52,7
01/04/2024;11/02/2024;boleto AP1;15/36;Rafa;599,99
01/04/2024;12/02/2024;boleto AP2;15/36;Rafa;423,65
01/04/2024;13/02/2024;boleto AP3;15/36;Rafa;270,16
01/04/2024;14/02/2024;Aluguel;;Rafa;842,72
01/04/2024;15/02/2024;Internet;;Rafa;79,71
01/04/2024;16/02/2024;Faxina;;Rafa;200
01/04/2024;17/02/2024;geladeira;;Rafa;800
01/04/2024;18/02/2024;Estante;;Rafa;80
01/04/2024;19/02/2024;ração gordo;;Rafa;170
01/04/2024;20/02/2024;OCV;;Rafa;21,9
01/04/2024;21/02/2024;Mercado das fruta;;Rafa;3,54
01/04/2024;22/02/2024;Luz;;Thais;232,12
01/04/2024;23/02/2024;Juro Obra;;Thais;693,31
01/04/2024;24/02/2024;Mercado das frutas;;Thais;117,08
01/04/2024;25/02/2024;Mercado ;;Thais;435,24
01/04/2024;26/02/2024;Troca Óleo 2/2;;Thais;112,5
01/04/2024;27/02/2024;Trava Bike 2/2;;Thais;59,63
01/04/2024;28/02/2024;Estacionamento ;;Thais;20
01/04/2024;29/02/2024;Comer fora;;Thais;162,9
01/04/2024;01/03/2024;Prime;;Thais;14,9
01/04/2024;02/03/2024;Banca 12 ;;Thais;117,92
01/04/2024;03/03/2024;Gás;;Thais;99
01/04/2024;04/03/2024;Gassolina ;;Thais;253,04
01/04/2024;05/03/2024;Meia do Dudu;;Thais;35,09
01/04/2024;06/03/2024;Mega POA;;Thais;21
01/04/2024;07/03/2024;Hermes;;Thais;66,12
01/04/2024;08/03/2024;Açai;;Thais;29,75
01/04/2024;09/03/2024;Whey;;Thais;75
01/04/2024;10/03/2024;Compras casa atacado 2/2;;Thais;84,09
01/04/2024;11/03/2024;OCV;;Thais;36,65
01/04/2024;12/03/2024;Passagem 1/2 ;;Thais;63,51
01/04/2024;13/03/2024;Suporte gáss;;Thais;39,5
01/04/2024;14/03/2024;Papel de parede;;Thais;25,65
01/05/2024;15/03/2024;boleto AP1;16/36;Rafa;602
01/05/2024;16/03/2024;boleto AP2;16/36;Rafa;425,39
01/05/2024;17/03/2024;boleto AP3;16/36;Rafa;217,27
01/05/2024;18/03/2024;Aluguel;;Rafa;784,26
01/05/2024;19/03/2024;Internet;;Rafa;82
01/05/2024;20/03/2024;Faxina;;Rafa;200
01/05/2024;21/03/2024;Manutencao Seu Paulo;;Rafa;100
01/05/2024;22/03/2024;Vacina Gordo;;Rafa;200
01/05/2024;23/03/2024;Capo Pizzaria;;Rafa;66
01/05/2024;24/03/2024;Lavagem Carro;;Rafa;50
01/05/2024;25/03/2024;Luz;;Thais;186,88
01/05/2024;26/03/2024;Juro Obra;;Thais;749,62
01/05/2024;27/03/2024;Mercado das frutas;;Thais;146,64
01/05/2024;28/03/2024;Mercado ;;Thais;422,79
01/05/2024;29/03/2024;Whey;;Thais;74,9
01/05/2024;30/03/2024;Amazon???;;Thais;107,8
01/05/2024;31/03/2024;Estacionamento ;;Thais;36
01/05/2024;01/04/2024;Comer fora;;Thais;148,3
01/05/2024;02/04/2024;Prime;;Thais;14,9
01/05/2024;03/04/2024;Tamavi ;;Thais;20
01/05/2024;04/04/2024;Gassolina ;;Thais;270
01/05/2024;05/04/2024;Farmacia;;Thais;124,91
01/05/2024;06/04/2024;OCV;;Thais;181,4
01/06/2024;07/04/2024;boleto AP1;17/36;Rafa;606
01/06/2024;08/04/2024;boleto AP2;17/36;Rafa;427,89
01/06/2024;09/04/2024;boleto AP3;17/36;Rafa;272,87
01/06/2024;10/04/2024;Aluguel;;Rafa;160,98
01/06/2024;11/04/2024;Internet;;Rafa;82
01/06/2024;12/04/2024;Faxina casa andre;;Rafa;200
01/06/2024;13/04/2024;Estacionamento Tamara;;Rafa;50
01/06/2024;14/04/2024;Pedagios ;;Rafa;64,45
01/06/2024;15/04/2024;Posto gasolina;;Rafa;6,99
01/06/2024;16/04/2024;Panvel;;Rafa;37,92
01/06/2024;17/04/2024;Mercado ;;Thais;458,1
01/06/2024;18/04/2024;Mercado das frutas;;Thais;96,63
01/06/2024;19/04/2024;Creatina ;;Thais;49,4
01/06/2024;20/04/2024;Whey;;Thais;143,7
01/06/2024;21/04/2024;Conserto aspirador;;Thais;45
01/06/2024;22/04/2024;Gasolina;;Thais;435,7
01/06/2024;23/04/2024;Amazon Prime;;Thais;19,9
01/06/2024;24/04/2024;Lavanderia ;;Thais;16,95
01/06/2024;25/04/2024;Casa Londres;;Thais;109,39
01/06/2024;26/04/2024;Aspirador 1/2;;Thais;87,5
01/06/2024;27/04/2024;Promove EPI 1/2;;Thais;76
01/06/2024;28/04/2024;CAPPTA *LUCI-CT HOLZ W;;Thais;36,23
01/06/2024;29/04/2024;EDMUNDO ALEX-CT RO FE;;Thais;52
01/06/2024;30/04/2024;Banca 12 ;;Thais;76,05
01/06/2024;01/05/2024;Xis no Andre;;Thais;70
01/06/2024;02/05/2024;Viagem ;;Thais;55,84
01/06/2024;03/05/2024;Juros Obra;;Thais;823,11
01/07/2024;08/07/2024;boleto AP1;18/36;Rafa;611,64
01/07/2024;08/07/2024;boleto AP2;18/36;Rafa;431,88
01/07/2024;08/07/2024;boleto AP3;18/36;Rafa;275,41
01/07/2024;24/06/2024;Limpeza do carro;Carro;Rafa;80
01/07/2024;27/06/2024;Presidente PAF;Casa Nova;Rafa;3,6
01/07/2024;10/06/2024;Torradeira;Casa Nova;Rafa;83
01/07/2024;23/06/2024;Frete Mikael;Casa Nova;Rafa;700
01/07/2024;20/06/2024;Forno Embutir;Casa Nova;Rafa;450
01/07/2024;21/06/2024;Roupeiro;Casa Nova;Rafa;700
01/07/2024;16/06/2024;Nova Roma;Comer Fora;Rafa;49
01/07/2024;16/06/2024;Rodosnack;Comer Fora;Rafa;11,8
