Competencia;Data;nome;descricao;Responsavel;Valor
01/02/2023;01/02/2023;310Cafeteria;;Rafa;42,9
01/02/2023;02/02/2023;AmazonPrime;;Rafa;14,9
01/02/2023;03/02/2023;BarrancoGato;;Rafa;62
01/02/2023;04/02/2023;Hora Pastel;;Rafa;43,8
01/02/2023;05/02/2023;OCV Ferragem;;Rafa;16,5
01/02/2023;06/02/2023;Presente tia lori;;Rafa;100
01/02/2023;07/02/2023;Aluguel;;Rafa;851
01/02/2023;08/02/2023;Internet;;Rafa;129
01/02/2023;09/02/2023;Posto SIm;;Rafa;100
01/02/2023;10/02/2023;ConectCar;;Rafa;50
01/02/2023;11/02/2023;ConectCar;;Rafa;50
01/02/2023;12/02/2023;Unisuper;;Rafa;23,38
01/02/2023;13/02/2023;BeCoffe;;Rafa;49,7
01/02/2023;14/02/2023;B12;;Rafa;44,08
01/02/2023;15/02/2023;Unisuper;;Rafa;38,85
01/02/2023;16/02/2023;Apê;;Rafa;260,62
01/02/2023;17/02/2023;Apê;;Rafa;408,48
01/02/2023;18/02/2023;Apê;;Rafa;578,62
01/02/2023;19/02/2023;Amigo secreto;;Thais;34,95
01/02/2023;19/02/2023;Luz;;Thais;268,12
01/02/2023;19/02/2023;Casa;;Thais;118,15
01/02/2023;19/02/2023;Gasolina;;Thais;494,75
01/02/2023;20/02/2023;Mercado;;Thais;567,66
01/02/2023;21/02/2023;Farmacia;;Thais;127,34
01/02/2023;22/02/2023;Comer fora;;Thais;747,53
01/02/2023;23/02/2023;Marmita;;Thais;453
01/02/2023;24/02/2023;Sofá 6/12;;Thais;299,9
01/02/2023;25/02/2023;Cama 3/10;;Thais;204,88
01/02/2023;26/02/2023;Faxina;;Thais;70
01/03/2023;01/03/2023;boleto AP1;fev/36;Rafa;409,42
01/03/2023;02/03/2023;boleto AP2;fev/36;Rafa;579,83
01/03/2023;03/03/2023;boleto AP3;fev/36;Rafa;261,09
01/03/2023;04/03/2023;Pedagio Conectcat;;Rafa;150
01/03/2023;05/03/2023;Presente Lucas;;Rafa;200
01/03/2023;06/03/2023;Racao gordo;;Rafa;170
01/03/2023;07/03/2023;Aluguel;;Rafa;704
01/03/2023;08/03/2023;Internet;;Rafa;129
01/03/2023;09/03/2023;Colchão 7/12;;Thais;299,9
01/03/2023;10/03/2023;Luz;;Thais;252,02
01/03/2023;11/03/2023;Caixa;;Thais;548,16
01/03/2023;12/03/2023;Sofá 4/10;;Thais;204,88
01/03/2023;13/03/2023;Comer fora;;Thais;446,07
01/03/2023;14/03/2023;Gasolina;;Thais;608,54
01/03/2023;15/03/2023;Mercado;;Thais;126,7
01/03/2023;16/03/2023;Casa;;Thais;50
01/03/2023;17/03/2023;Arikawa;;Thais;52,35
01/03/2023;18/03/2023;Gordinho;;Thais;93
01/03/2023;19/03/2023;Carro 1/3;;Thais;719
01/03/2023;20/03/2023;Farmácia;;Thais;84,26
01/04/2023;01/04/2023;boleto AP1;mar/36;Rafa;410,15
01/04/2023;02/04/2023;boleto AP2;mar/36;Rafa;580,86
01/04/2023;03/04/2023;boleto AP3;mar/36;Rafa;261,55
01/04/2023;04/04/2023;OCV ferragem;;Rafa;10,1
01/04/2023;05/04/2023;OCV ferragem;;Rafa;3,2
01/04/2023;06/04/2023;OCV ferragem;;Rafa;11,25
01/04/2023;07/04/2023;GMAD;;Rafa;354
01/04/2023;08/04/2023;Conectcat;;Rafa;50
01/04/2023;09/04/2023;Aluguel;;Rafa;754
01/04/2023;10/04/2023;Internet;;Rafa;129
01/04/2023;11/04/2023;Colchão 8/12;;Thais;299,9
01/04/2023;12/04/2023;Luz;;Thais;302,46
01/04/2023;13/04/2023;Sofá 5/10;;Thais;204,88
01/04/2023;14/04/2023;Carro 2/3;;Thais;719
01/04/2023;15/04/2023;Comer fora;;Thais;785,73
01/04/2023;16/04/2023;Hotel Pinhal;;Thais;140
01/04/2023;17/04/2023;Casa;;Thais;57,6
01/04/2023;18/04/2023;Farmacia;;Thais;79,52
01/04/2023;19/04/2023;Mercado;;Thais;212,34
01/04/2023;20/04/2023;Gasolina;;Thais;100
01/04/2023;21/04/2023;Fruteira;;Thais;72,56
01/04/2023;22/04/2023;Juros obra;;Thais;273,38
01/04/2023;23/04/2023;Cartório;;Thais;99,69
01/05/2023;01/05/2023;boleto AP1;abr/36;Rafa;411,09
01/05/2023;02/05/2023;boleto AP2;abr/36;Rafa;582,19
01/05/2023;03/05/2023;boleto AP3;abr/36;Rafa;262,15
